YEAR,QUARTER,REGION,PROVINCE,SEX,VALUE,UNIT,SOURCE
2563,"ไตรมาสที่ 1",ภาคเหนือ,แพร่,ชาย,123.60,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 2",ภาคกลาง,ฉะเชิงเทรา,ชาย,245.60,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,402.90,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 3",ภาคกลาง,นครนายก,ชาย,85.70,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 3",ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,ชาย,94.60,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 4",ภาคกลาง,ประจวบคีรีขันธ์,ชาย,150.40,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 4",ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,88.90,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 1",ภาคกลาง,ราชบุรี,ชาย,246.40,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 1",ภาคตะวันออกเฉียงเหนือ,สกลนคร,ชาย,225.50,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 2",ภาคกลาง,สมุทรสาคร,ชาย,375.30,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,97.00,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 3",ภาคกลาง,สุพรรณบุรี,ชาย,254.30,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 3",ภาคตะวันออกเฉียงเหนือ,เลย,ชาย,167.00,พันคน,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาสที่ 4",ภาคเหนือ,ตาก,ชาย,131.20,พันคน,สำนักงานสถิติแห่งชาติ
